date,day,time,title,artists,location,image_url
09.08.2022,Tuesday,19.30 / 20.30,Chineke! Junior Orchestra,"['Chineke! Junior Orchestra ', ' Glass Marcano ', ' Gerard Aimontche']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/d6/46/d64619b1-e2d1-4814-ba75-03eb0a056fd7/chinekeyouth_2020_c_orlandogili_2475.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
10.08.2022,Wednesday,19.30,National Youth Orchestra of the USA,"['National Youth Orchestra of the USA ', ' Daniel Harding ', ' Alisa Weilerstein']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/26/49/26490607-9694-4985-b3e0-cc98e300083e/weilersteinalisa_c_marco_borggreve.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
11.08.2022,Thursday,19.30,Ilumina,"['Ilumina ', ' Jennifer Stumm']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/c6/df/c6df79a9-7edf-4edc-a813-7f8988ebc825/iluminagroup05rodrigo_rosenthal.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
12.08.2022,Friday,18.30,Lucerne Festival Orchestra 1,"['Lucerne Festival Orchestra ', ' Riccardo Chailly ', ' Anne-Sophie Mutter']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/52/23/5223e03a-cbcf-48fd-a8b9-dcb68dac3e6c/mutter_williams_across_the_stars_0047.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
13.08.2022,Saturday,18.30,Lucerne Festival Orchestra 2,"['Lucerne Festival Orchestra ', ' Riccardo Chailly ', ' Denis Matsuev']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/6f/d0/6fd06638-117a-45b0-9eb3-1e95863c9f65/190816_19301_sommer_lfo_chailly_matsuev_eroffnungskonzert_c_fischli_03_approved.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
14.08.2022,Sunday,11.00,Recital András Schiff,['Sir András Schiff'],"KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/2f/c9/2fc969ff-550c-4d00-a4f5-a7d9e6518330/181121_18509_rezital_3_schiff_cpketterer_lucernefestival_03.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
14.08.2022,Sunday,14.30,JACK Quartet 1,"['JACK Quartet ', ' Tyshawn Sorey']","KKL Luzern, Lucerne Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/6a/43/6a43b809-4fd1-404c-9927-72237b3abc46/sorey_tyshawn_1-_john_rogers.jpeg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
14.08.2022,Sunday,19.30,West-Eastern Divan Orchestra 1,"['West-Eastern Divan Orchestra ', ' Daniel Barenboim']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/d5/c7/d5c722ea-9474-448d-922f-5fa0e53a4d9c/180822_18311_sk6_wedo_barenboim_cpketterer_lucernefestival_02.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
15.08.2022,Monday,19.30,West-Eastern Divan Orchestra 2,"['West-Eastern Divan Orchestra ', ' Daniel Barenboim ', ' Lang Lang']","KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/ab/55/ab553098-1514-4478-8e6e-5abdcd579c62/ll_2020__olaf_heine_deutsche_grammophon_2.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
16.08.2022,Tuesday,19.30,Lucerne Festival Orchestra 3,['Soloists of the Lucerne Festival Orchestra'],"KKL Luzern, Concert Hall",https://d114xt1mltdkik.cloudfront.net/media/thumbnails/filer_public/11/44/1144225d-95cb-46bd-908c-83174b0b9b1e/200816_20634_lfo_3_solisten_christ_c_fischli_14_nachbearbeitet.jpg__210x136_q85_autocrop_crop-smart_cropper-event_list-_subsampling-2.jpg
